__v,_id,description,listImg,listVar,name,price,quantity,rate,sold,vote
0,60935657bbc03a7818a3282f,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Mỗi ngày là một ngày tốt để đi bộ màu xanh lá cây. Adidas Ultimate365 3-Stripes thi Shorts cung cấp sự thoải mái đáng tin cậy và sự nhanh nhẹn linh hoạt để bạn có thể là tốt nhất của bạn vào ngày trận đấu. Trèo lên bảng dẫn với 3-Strips phong cách sao lưu mỗi swing.

- phù hợp thường xuyên
- vòng đai và ruồi zip
- 55% nylon, 34% polyester, 11% elastan twill
- Hấp thụ ẩm vải
- 3-Stripes quần short golf
- Mặt trận và túi sau
- Silicone nắm băng bên eo
- 55% Polyamide/34% rec polyester/11% Elasthane
- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/655bf46a04f004ecda1cfcefdfbdec57_tn"",""https://cf.shopee.vn/file/03290c58df2e2d61f39372ef7dfb6161_tn"",""https://cf.shopee.vn/file/26d0b47ce7ee56c06bd91bf6129ddb09_tn"",""https://cf.shopee.vn/file/19e7b8411acc242440497e0ccb292177_tn"",""https://cf.shopee.vn/file/b9964bf0f57674625c13cf8abd2c0e44_tn""]","[""Black A/XS US"",""Black A/L US"",""Black A/XL US"",""Black A4XL US"",""Black M US"",""Black L US"",""Black A/S US"",""Black A/M US"",""Black A2XL US"",""Black A3XL US"",""Black S US""]", Quần Ngắn adidas GOLF Nam Ultimate365 3 Sọc Màu Đen FJ9880,1795000,113,5,5,3
0,60935657bbc03a7818a32839,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Cuộc phiêu lưu vẫn tiếp tục. adidas đã tạo ra đôi giày chạy bộ này để kỷ niệm 40 năm The Empire Strikes Back. Phần trên được đan bằng sợi hút ẩm và có cấu trúc mở để thoáng khí. Sử dụng Force để hướng dẫn đường chạy của bạn với sự trợ giúp của miếng lót chân Yoda và nhãn lưỡi phát sáng trong bóng tối.

- Đóng ren
- adidas Primeknit dệt trên
- Vận động viên kỷ niệm Star Wars ™
- Đế giữa của Responsive Boost
- © và ™ Lucasfilm Ltd. Mọi quyền được bảo lưu
- DỆT / DA


- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/bb004be74867fde35632412baeafbe50_tn"",""https://cf.shopee.vn/file/43dda4ff71bfe7870e1680238c0faff4_tn"",""https://cf.shopee.vn/file/ee6aa3699419fb747911508fa1de3bfb_tn"",""https://cf.shopee.vn/file/c6ebeb1bcbac03b1de4db06487b969c8_tn"",""https://cf.shopee.vn/file/2eb111e84204c85308e8dcef1c42b129_tn""]","[""Green 17 UK"",""Green 16 UK"",""Green 12.5 UK"",""Green 6 UK"",""Green 5.5 UK"",""Green 4.5 UK"",""Green 12 UK"",""Green 10 UK"",""Green 8.5 UK"",""Green 7 UK"",""Green 6.5 UK"",""Green 11 UK"",""Green 7.5 UK"",""Green 3.5 UK"",""Green 15 UK"",""Green 14.5 UK"",""Green 13.5 UK"",""Green 9.5 UK"",""Green 5 UK"",""Green 4 UK"",""Green 11.5 UK"",""Green 10.5 UK"",""Green 9 UK"",""Green 8 UK""]", Giày adidas RUNNING Ka+ Coloured Boost Unisex Màu xanh lá FY3496,4500000,2,5,11,3
0,60935657bbc03a7818a3283a,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Mẫu giày này đem sự thoải mái hiện đại vào phong cách chạy bộ thập niên 70. Thân giày bằng da và da lộn với họa tiết 3 Sọc răng cưa đặc trưng. Đế giữa công nghệ Boost cho lớp đệm bền bỉ.

Phong cách hoài cổ
Phong cách cổ điển lấy cảm hứng từ mẫu giày chạy thập niên 70

Nguồn năng lượng bất tận
Boost hiện là công nghệ đệm có độ bật nảy tốt nhất của adidas, giúp chuyển hồi năng lượng đáng kinh ngạc: Càng dùng nhiều sức, bạn càng nhận nhiều lực đẩy

- Ôm vừa
- Có dây buộc
- Thân giày bằng da cùng các chi tiết phủ ngoài bằng da lộn
- Đế ngoài bằng cao su
- Đế giữa công nghệ Boost có độ bật nảy
- Cảm giác nhẹ nhàng","[""https://cf.shopee.vn/file/4a5cadd2a36c2829b033ae5954a7a822_tn"",""https://cf.shopee.vn/file/e33a8159657563fbafc18153041c2284_tn"",""https://cf.shopee.vn/file/209971aef645ec39d2bad9a59c2bf8a4_tn"",""https://cf.shopee.vn/file/35c0a5324c239faa736efaa1f798a2dc_tn"",""https://cf.shopee.vn/file/5de5f16de947b237ea697c043b9c5e79_tn""]","[""white 5.5 UK"",""white 11.5 UK"",""white 10.5 UK"",""white 10 UK"",""white 9.5 UK"",""white 9 UK"",""white 6.5 UK"",""white 6 UK"",""white 13.5 UK"",""white 13 UK"",""white 12.5 UK"",""white 11 UK"",""white 8.5 UK"",""white 8 UK"",""white 7.5 UK"",""white 4.5 UK"",""white 4 UK"",""white 3.5 UK"",""white 12 UK"",""white 7 UK"",""white 5 UK""]", Giày adidas ORIGINALS I-5923 Nam BD7799,3000000,1,5,11,3
0,60935657bbc03a7818a3283b,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Khi bạn thực hiện trong ngày, bạn làm điều đó một cách tự tin. Những chiếc quần adidas này là bằng chứng cho điều đó. Bắt chước băng kinesiology, các mảng sáng đậm của đèn neon tạo ra ánh sáng màu khi bạn di chuyển và nổi bật hơn nữa khi cuối cùng bạn đã giảm tốc độ. Dù tốc độ của bạn như thế nào, thiết kế nhẹ và các tấm thông gió đảm bảo bạn luôn thoải mái.

- Drawcord trên eo đàn hồi
- Dệt trơn 100% polyester tái chế
- Nhẹ
- Quần thông hơi
- Túi bên
- Túi zip phía sau
- Gusset lưới
- 100% Polyamide, 60% Cotton / 40% rec polyester","[""https://cf.shopee.vn/file/62cf36fb38b212b9bff5f77753eb90f2_tn"",""https://cf.shopee.vn/file/6ebbd5d3f96b31b9d52aed01ae16327a_tn"",""https://cf.shopee.vn/file/38d22bbddc94d251720c1b4d48f67040_tn"",""https://cf.shopee.vn/file/9de5fb7d887bada743a9964a0d93aaec_tn"",""https://cf.shopee.vn/file/621cc1981b29febe8f26d6f1eae5ae56_tn""]","[""blue 2XL US"",""blue XL US"",""blue L US"",""blue M US"",""blue S US"",""blue XS US""]", Quần Thể Thao adidas NOT SPORTS SPECIFIC Woven Tape Nam GC9913,1700000,6,5,7,3
0,60935657bbc03a7818a3283c,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Bảo vệ túi xách của anh khi anh di chuyển và bỏ đi với vụ du lịch golf này. Nó tính toán một thiết kế nhẹ, foldable để giữ thêm giày, bánh răng và các yếu tố cần thiết. Thêm 3 sọc. 
100% polyester 
Đóng cửa 
Gấp đôi 
Huy hiệu 3 sọc và huy hiệu adidas của adidas
- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/8f1a7f6f6f7c01bae9aa16aa25636d5a_tn"",""https://cf.shopee.vn/file/2056997f0e0d5c501938d9b19ec3e133_tn"",""https://cf.shopee.vn/file/ac0442509de93c69edd71d621c171ad8_tn"",""https://cf.shopee.vn/file/8c64c54f9d5f61b1c1ac51655dedd468_tn"",""https://cf.shopee.vn/file/b474abc984ee628f33f33533ad47a47d_tn""]",[], Túi adidas GOLF 3-Stripes Travel Case Unisex Màu đen CK7252,1395000,44,5,5,3
0,60935657bbc03a7818a3283d,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Mobility, speed drills, strength training, cardio. Everything you do off the field contributes to your performance on it. These adidas shoes are designed to help you gain that edge by providing support for explosive movement in any direction. So you can crush those training goals.

- Lace closure
- Mesh upper
- Supportive feel
- Stable running shoes
- Bounce midsole cushioning and a rubber outsole
- TEXTILE/SYNTHETICS
- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/f7c1ec1df8936fd2011514545b21f790_tn"",""https://cf.shopee.vn/file/725e50649f1b7d077990f71486fc2667_tn"",""https://cf.shopee.vn/file/64fee9618c1ba9e9dbbc2951db31e4c7_tn"",""https://cf.shopee.vn/file/acb97afcc618c7ffb1b63692ee5df3a1_tn"",""https://cf.shopee.vn/file/0208cf3f58a02f97366270c9979f9176_tn""]","[""White 3.5 UK"",""White 4 UK"",""White 4.5 UK"",""White 5 UK"",""White 5.5 UK"",""White 6 UK"",""White 6.5 UK"",""White 7 UK"",""White 7.5 UK"",""White 8 UK"",""White 8.5 UK"",""White 9 UK"",""White 9.5 UK"",""White 10 UK""]", Giày adidas RUNNING Nữ Alphatorsion 360 Màu Trắng EG5077,2700000,106,4.5,18,4
0,60935657bbc03a7818a3283e,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Cải biên, rồi lại cải tiến. Ra đời vào thập niên 1990, đôi giày chạy bộ OZWEEGO 3 nổi tiếng với thiết kế thoải mái nhẹ nhàng và phong cách thập niên 90. Đôi giày adidas này chắt lọc những nét tinh túy nhất của phong cách hoài cổ ấy và biến tấu thành một phiên bản hoàn toàn mới. Các chi tiết dạng ống trên gót giày mang đến phong cách hoài cổ lai công nghệ đúng chất.

- Có dây buộc
- Thân giày bằng vải lưới phản quang
- Cảm giác thoáng khí
- Giày tập cổ điển hầm hố
- Đế ngoài bằng cao su


- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/7ff3238bd1211e64022c170901167afa_tn"",""https://cf.shopee.vn/file/63258662ce7fff72c4fe8637481920f8_tn"",""https://cf.shopee.vn/file/bfa81edfc645f2dfedc488ae369b50f5_tn"",""https://cf.shopee.vn/file/e1dce95c4764243a0f5cf8c72a050b19_tn"",""https://cf.shopee.vn/file/d79bda11d74e46a3e4d41e11695deb3c_tn""]","[""pink 4.5 UK"",""pink 5 UK"",""pink 5.5 UK"",""pink 6 UK"",""pink 7.5 UK"",""pink 8 UK"",""pink 3.5 UK"",""pink 4 UK"",""pink 9.5 UK"",""pink 8.5 UK"",""pink 9 UK"",""pink 6.5 UK"",""pink 7 UK""]", Giày adidas ORIGINALS OZWEEGO Nữ EH1197,3100000,2,4.2,7,5
0,60935657bbc03a7818a3283f,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Thành phố có một nguồn năng lượng. Nó lan tỏa trong không trung và rộn ràng dưới những con phố. Hòa mình vào nguồn không khí ấy với đôi giày chạy bộ adidas này. Lớp đệm đàn hồi hoàn trả năng lượng trên từng sải bước với cảm giác chắc chắn, giúp bạn cảm nhận rõ mặt đường. Bởi vì đây chính là nơi đáng tận hưởng nhất ngay bây giờ.

- Có dây buộc
- Thân giày bằng vải dệt
- Giày chạy bộ đàn hồi
- Đệm đế giữa công nghệ Boost HD
- not found
- not found
- not found
- Ôm vừa
- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/20fb2a2ba036658492624dccb834f678_tn"",""https://cf.shopee.vn/file/2754202bbe8f4aff134fd0e9e9cb8005_tn"",""https://cf.shopee.vn/file/9a6b70c1372569c465ad0e75367f0b30_tn"",""https://cf.shopee.vn/file/17cfc5ad957af7efe36060ce91a01208_tn"",""https://cf.shopee.vn/file/214561b9cd9be24d79598aa771dacfe8_tn""]","[""White 3.5 UK"",""White 4 UK"",""White 4.5 UK"",""White 5 UK"",""White 5.5 UK"",""White 6 UK"",""White 6.5 UK"",""White 7 UK"",""White 7.5 UK"",""White 8 UK"",""White 8.5 UK"",""White 9 UK"",""White 9.5 UK"",""White 10 UK"",""White 10.5 UK"",""White 11 UK"",""White 11.5 UK"",""White 12 UK"",""White 12.5 UK"",""White 13 UK"",""White 13.5 UK""]", Giày adidas RUNNING Nam Pulseboost Hd Màu Trắng EG9969,3500000,2,4.3,8,4
0,60935657bbc03a7818a32840,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Quyết tâm bứt tốc. Đôi giày adidas SL20 này sẽ hỗ trợ cuộc chơi của bạn. Thân giày bằng vải lưới thoáng khí với hệ thống hỗ trợ bên trong giúp cố định bàn chân khi tăng tốc. Lớp đệm siêu nhẹ cho cảm giác gọn ghẽ và bứt tốc nhanh hơn.

- Có dây buộc
- Thân giày bằng vải lưới co giãn không đường may
- Giày chạy bộ siêu nhẹ
- Lớp đệm công nghệ Lightstrike cho cảm giác tốc độ và gọn ghẽ
- Trọng lượng: 230 g (cỡ Anh 8.5)
- Chênh lệch độ cao đế giữa: 10 mm (gót giày 24,2 mm / mũi giày 14,2 mm)


- Không Bảo Hành
- Xuất Xứ Thương Hiệu: Đức","[""https://cf.shopee.vn/file/66c6cae544d4dd9ebe31fff02a75b8d3_tn"",""https://cf.shopee.vn/file/ace11935f4856cb198fbf6ac30a17102_tn"",""https://cf.shopee.vn/file/c00d2b77045723529951e835330e6de4_tn"",""https://cf.shopee.vn/file/62b5412f3915efbd0396a76f64fb4c87_tn"",""https://cf.shopee.vn/file/aa0d462d8b17e346b53c3cbb879edd4b_tn""]","[""Black 9.5 UK"",""Black 8.5 UK"",""Black 10 UK"",""Black 9 UK"",""Black 10.5 UK"",""Black 11 UK"",""Black 11.5 UK"",""Black 12 UK"",""Black 12.5 UK"",""Black 6 UK"",""Black 6.5 UK"",""Black 7 UK"",""Black 7.5 UK"",""Black 8 UK""]", Giày adidas RUNNING SL20 Nam Màu đen EG4704,2800000,1,4.3,6,3
0,60935657bbc03a7818a32841,"Quý khách vui lòng nhắn tin cho shop trong vòng 1 ngày sau khi nhận được hàng để được hỗ trợ trong trường hợp cần xuất hóa đơn đỏ (VAT) cho sản phẩm đã mua tại Shopee.
Quá thời gian nhận được hàng đã nêu, shop xin được phép không hỗ trợ dù trong bất kỳ trường hợp nào.
Không có cái gọi là quá nhỏ khi nói đến tác động. Vì vậy, khi bạn hướng tới mục tiêu của mình, hãy hướng tới cam kết chấm dứt rác thải nhựa của adidas. Nó có các vật liệu tái chế, vì vậy hãy tiếp tục, phủ lớp này lên quần áo tập luyện của bạn và đi ra khỏi cửa. Chúng ta có việc phải làm.

- Đầy đủ zip với cổ áo đứng
- Dệt trơn 100% polyester tái chế
- Áo khoác in
- AEROREADY hút ẩm
- Túi bên
- Cổ tay và viền đàn hồi
- Huy hiệu thể thao của adidas với lớp phủ lưới
- Sản phẩm này được làm bằng Primegreen, một loạt vật liệu tái chế hiệu suất cao không sử dụng polyester nguyên chất.
- 100% polyester tái tạo","[""https://cf.shopee.vn/file/7d1e66f55cccdaee51decd60cc6d6c71_tn"",""https://cf.shopee.vn/file/615f11dd8310ebb8bf44c2ea71c42e7d_tn"",""https://cf.shopee.vn/file/ea0ed51622147ce8250939024ca7886b_tn"",""https://cf.shopee.vn/file/402d061f68c3ece934dc00b3b22d0e18_tn"",""https://cf.shopee.vn/file/0a6ec8b7ed652565a3688e0e83b75280_tn""]","[""Black 2XS US"",""Black 2XL US"",""Black XL US"",""Black L US"",""Black M US"",""Black S US"",""Black XS US""]", Áo khoác Unleash Confidence Woven Nữ Màu đen GD4555,1500000,13,4.8,14,5
